Name: Ruby (Megastar Mysteries),Author: Annabelle Starr (Author),Publisher: 2Heads,ISBN-10: 1405232501,ISBN-13: 978-1405232500
Name: Ruby Orchid (Heartfire),Author: Katherine Kincaid (Author),Publisher: Zebra,ISBN-10: 082172388X,ISBN-13: 978-0821723883
Name: Ruby (Dakotah Treasures #1),Author: Lauraine Snelling (Author),Publisher: Bethany House Publishers,ISBN-10: 0764222228,ISBN-13: 978-0764222221
Name: Ruby the Copycat,Author: Peggy Rathmann (Author),Publisher: Scholastic Paperbacks,ISBN-10: 0590474235,ISBN-13: 978-0590474238
Name: The Ruby Way,Author: Hal Fulton (Author),Publisher: Sams Publishing,ISBN-10: 0672320835,ISBN-13: 978-0672320835
Name: Ruby Holler,Author: Sharon Greech (Author),Publisher: Harper Collins,ISBN-10: 0439539439,ISBN-13: 978-0439539432
Name: The Ruby Ring,Author: Diane Haeger (Author),Publisher: Random House,ISBN-10: 0375434461,ISBN-13: 978-0375434464
"Name: Goodbye, Ruby Tuesday",Author: Donna Hay (Author),Publisher: ORION,ISBN-10: 0752859978,ISBN-13: 978-0752859972
"Name: Goodbye, Ruby Tuesday",Author: Donna Hay (Author),Publisher: Orion,ISBN-10: 0752860224,ISBN-13: 978-0752860220
Name: Rouge rubis,Author: N/A,Publisher: Editions Milan,ISBN-10: 2745945475,ISBN-13: 978-2745945471
Name: Goodbye Ruby Tuesday,Author: Dick Delson (Author),Publisher: Berkley,ISBN-10: 0425032337,ISBN-13: 978-0425032336
"Name: Love, Ruby Lavender",Author: Deborah Wiles (Author),Publisher: Walker Books,ISBN-10: 074459040X,ISBN-13: 978-0744590401
Name: Ruby the Fire Engine (Pop-up Books),Author: Iain Smyth (Author),Publisher: Orchard Books,ISBN-10: 1860393225,ISBN-13: 978-1860393228
Name: Ruby (Megastar Mysteries),Author: Annabelle Starr (Author),Publisher: 2Heads,ISBN-10: 1405232501,ISBN-13: 978-1405232500
Name: Ruby Orchid (Heartfire),Author: Katherine Kincaid (Author),Publisher: Zebra,ISBN-10: 082172388X,ISBN-13: 978-0821723883
Name: Ruby (Dakotah Treasures #1),Author: Lauraine Snelling (Author),Publisher: Bethany House Pub,ISBN-10: 0764290762,ISBN-13: 978-0764290763
Name: Ruby the Copycat,Author: Peggy Rathmann (Author),Publisher: Scholastic Paperbacks,ISBN-10: 0590474235,ISBN-13: 978-0590474238
Name: The Ruby Way,Author: Hal Fulton (Author),Publisher: Sams Publishing,ISBN-10: 0672320835,ISBN-13: 978-0672320835
Name: Das Einsteigerseminar Ruby.,Author: Klaus Spreckelsen (Author),Publisher: mitp-Verlag,ISBN-10: 3826672429,ISBN-13: 978-3826672422
Name: The Ruby Ring,Author: Diane Haeger (Author),Publisher: Random House,ISBN-10: 0375434461,ISBN-13: 978-0375434464
"Name: Goodbye, Ruby Tuesday",Author: Donna Hay (Author),Publisher: ORION,ISBN-10: 0752859978,ISBN-13: 978-0752859972
Name: Blood Rubies,Author: Axel Young (Author),Publisher: AVON BOOKS,ISBN-10: 038079392X,ISBN-13: 978-0380793921
Name: Rouge rubis,Author: N/A,Publisher: Editions Milan,ISBN-10: 2745945475,ISBN-13: 978-2745945471
Name: Goodbye Ruby Tuesday,Author: Dick Delson (Author),Publisher: Berkley,ISBN-10: 0425032337,ISBN-13: 978-0425032336
Name: Ruby's Spoon,Author: Anna Lawrence Pietroni (Author),Publisher: Chatto & Windus,ISBN-10: 0701184361,ISBN-13: 978-0701184360
Name: Ruby the Fire Engine (Pop-up Books),Author: Iain Smyth (Author),Publisher: Orchard Books,ISBN-10: 1860393225,ISBN-13: 978-1860393228
Name: Mama Ruby (A Mama Ruby Novel),Author: Mary Monroe (Author),Publisher: Dafina,ISBN-10: 0758238614,ISBN-13: 978-0758238610
"Name: Love, Ruby Lavender",Author: Deborah Wiles (Author),Publisher: Gulliver Books,ISBN-10: 0152049215,ISBN-13: 978-0152049218
Name: Das Einsteigerseminar Ruby.,Author: Klaus Spreckelsen (Author),Publisher: mitp-Verlag,ISBN-10: 3826672429,ISBN-13: 978-3826672422
Name: Campaign Ruby,Author: Jessica Rudd (Author),Publisher: The Text Publishing Company,ISBN-10: 1921656573,ISBN-13: 978-1921656576
Name: Price Above Rubies,Author: Patricia Lawson (Author),Publisher: Headline Book Publishing,ISBN-10: 0747203873,ISBN-13: 978-0747203872
Name: Ruby's Spoon,Author: Anna Lawrence Pietroni (Author),Publisher: Chatto & Windus,ISBN-10: 0701184361,ISBN-13: 978-0701184360
Name: Ruby (Dakotah Treasures #1),Author: Lauraine Snelling (Author),Publisher: Bethany House Publishers,ISBN-10: 0764222228,ISBN-13: 978-0764222221
Name: Ruby Holler,Author: Sharon Greech (Author),Publisher: Harper Collins,ISBN-10: 0439539439,ISBN-13: 978-0439539432
"Name: Love, Ruby Lavender",Author: Deborah Wiles (Author),Publisher: Gulliver Books,ISBN-10: 0152049215,ISBN-13: 978-0152049218
"Name: Goodbye, Ruby Tuesday",Author: Donna Hay (Author),Publisher: Orion,ISBN-10: 0752860224,ISBN-13: 978-0752860220
"Name: Love, Ruby Lavender",Author: Deborah Wiles (Author),Publisher: Walker Books,ISBN-10: 074459040X,ISBN-13: 978-0744590401
Name: Price Above Rubies,Author: Patricia Lawson (Author),Publisher: Headline Book Publishing,ISBN-10: 0747203873,ISBN-13: 978-0747203872
Name: Ruby (Dakotah Treasures #1),Author: Lauraine Snelling (Author),Publisher: Bethany House Pub,ISBN-10: 0764290762,ISBN-13: 978-0764290763
Name: Blood Rubies,Author: Axel Young (Author),Publisher: AVON BOOKS,ISBN-10: 038079392X,ISBN-13: 978-0380793921
Name: Campaign Ruby,Author: Jessica Rudd (Author),Publisher: The Text Publishing Company,ISBN-10: 1921656573,ISBN-13: 978-1921656576
Name: Mama Ruby (A Mama Ruby Novel),Author: Mary Monroe (Author),Publisher: Dafina,ISBN-10: 0758238614,ISBN-13: 978-0758238610
